Duration (in seconds),Finished,UserLanguage,PROLIFIC_PID,Consent,EMOTION,Recall,Specific Event,4_Item_1,5_Item_1,6_Item_1,7_Item_1,8_Item_1,9_Item_1,10_Item_1,11_Item_1,12_Item_1,13_Item_1,14_Item_1,15_Item_1,16_Item_1,17_Item_1,18_Item_1,19_Item_1,20_Item_1,21_Item_1,22_Item_1,23_Item_1,24_Item_1,25_Item_1,26_Item_1,27_Item_1,28_Item_1,29_Item_1,30_Item_1,31_Item_1,32_Item_1,33_Item_1,34_Item_1,35_Item_1,36_Item_1,37_Item_1,38_Item_1,39_Item_1,40_Item_1,41_Item_1,42_Item_1,43_Item_1
560,True,EN,5fedc499d92c4a83e5d18e93,I agree,ANGER,"A few years ago I came down to my rowing club to go out in my boat, only to discover that someone had taken my blades and was using them in another boat. I was very angry that they had taken my private blades instead of the ones belonging to the club that are for everyone's use. I had to use other blades which were not my own and were not set up for me. I was also angry because then the other person using my blades was coming in to land they scraped my blades on the concrete step, not taking the same care with them as I would have done.",The fact that someone had taken my property,2,1,1,2,9,6,1,2,1,6,4,1,5,4,8,1,9,5,6,7,7,6,1,4,5,5,2,4,1,3,9,5,4,5,7,1,3,6,4,-99
800,True,EN,5f4ac049c374f51158b481ba,I agree,DISAPPROVAL,One of the key project was taken from me and given to someone last year so I felt that I dont have skill set and ability to work on that type of projects. I kept thinking why it happened and why I was unsuccessful.,Key project at work was taken from me.,3,2,2,3,7,7,2,6,2,1,6,7,7,2,7,3,6,6,4,6,6,4,2,6,6,2,8,4,2,7,8,1,4,3,8,6,6,7,6,-99
899,True,EN,5c2a1f3667d56300016a3b97,I agree,CURIOSITY,"This happened to me just this week, just over two years ago my husband had an operation to remove a bowel cancer since then all scans and tests have showed no return of the cancer. However periodically since his chemotherapy ended he has become quite ill for weeks at a time. He is convinced he is very close to the end of his life. About 6 weeks after the op my husband was started on a course of chemotherapy which made him very ill and he was hospitalised for several weeks. After recently becoming very ill and eventually collapsing I began to wonder if the chemotherapy had caused long term problems. My curiosity led me to do a lot of research and found that this was indeed a possibility, I also spoke to his cancer nurse who agreed with me an suggested he consult his GP who could provide medication to combat or even reverse these effects. My husband is a very stubborn man and say as he is improving he can't see the point in bothering the doctor. The upcome is we are still fighting about this.",I was worried about my husband's health,5,1,9,9,9,1,3,9,9,9,9,1,9,1,9,1,9,1,9,9,9,5,9,9,9,9,9,3,1,5,9,5,9,3,9,9,7,9,4,-99
500,True,EN,60d42bb2a94bb76934476fd1,I agree,CURIOSITY,"When I was seven I wanted to be a doctor, it wasn't just a fleeting idea but an intense feeling that I had to be a doctor. I was so curious as to how the body worked and wanted to learn more about it, because of this I got a huge anatomical encyclopaedia and every night I would spend hours highlighting and learning all the contents of the book. ",Wanting to become a doctor,7,6,6,-99,6,4,6,6,7,3,4,6,3,6,3,2,3,4,6,6,6,9,3,3,6,6,6,3,1,7,6,6,7,6,7,6,2,4,4,-99
368,True,EN,5d4043f25458cb0001d164a0,I agree,SADNESS,I felt sadness when I went to the hospital to visit my sick Mother and saw that she was deteriorating.,Seeing my Mother deteriorating,2,1,1,1,5,4,1,9,1,1,5,4,8,1,3,1,6,1,5,4,2,9,3,7,8,2,9,5,1,2,9,2,6,5,9,9,7,9,4,-99
414,True,EN,6014318356f32e39dac7d569,I agree,GRIEF,"The day my dog died was one of the very worst days of my life. I cannot put into word the absolute devastation and loneliness of burying him and knowing we were no longer going to spend all of our time together. I knew my entire world was different and was going to have less joy. My dog got run over in front of me. The was no vet open and it took him 25 minutes to die in a car on the way to another vet really far away. I was inconsolable and 5 years later cannot even think of my dog without tearing up. He was my best friend. ",death of my pet due to being run over by a car,1,1,1,5,7,1,1,1,2,1,5,9,9,1,1,6,7,9,2,2,1,9,9,1,9,2,9,2,1,3,9,1,9,2,9,9,9,9,4,-99
214,True,EN,5fe290a80f62f4e47cc3f3c0,I agree,REALIZATION,"Recently when studying for a test, I was doing a lot of practice tests. However, There was one type of problem which I had a big problem with. I just couldn't figure out how to do those types of problems. Finally, after studying for a while, I looked at the lecture notes and realized that I could simply do it a different way, which helped me solve those types of problems. I had realization when I realized this",Looking at the lecture notes.,7,8,-99,7,3,8,7,8,-99,2,7,6,-99,7,7,2,3,7,6,6,3,-99,-99,2,7,8,6,3,2,6,7,8,3,7,8,7,3,-99,4,-99
907,True,EN,5ae1c385b0d05100015d0978,I agree,JOY,When my cat who I thought was gone - as she had been missing for over a week which was extremely unusual for her - returned home.,Being with my cat again,1,9,5,8,7,1,2,9,1,2,1,1,9,1,2,1,1,9,5,9,1,1,6,7,6,9,1,4,1,9,9,5,5,5,7,7,1,2,4,-99
649,True,EN,5f89debc12abd1044a5e5c4a,I agree,GRATITUDE,"I felt gratitude when I got confirmation from my colleagues that I was a pleasure to work with. without me having to pry for that confirmation myself. ",felling appreciated by people who know me,1,9,4,7,9,8,2,3,5,8,7,6,6,4,7,1,6,6,7,7,7,9,2,9,7,7,4,3,1,8,8,7,6,6,6,9,1,8,4,-99
422,True,EN,5fbf82073c290326d44a11f0,I agree,DISGUST,"I watched my friend put a dog treat in his mouth and let his dog eat it out of his mouth and lick all over his lips and face after getting the treat, my friend then didnt even wipe his face and licked his lips after.",Dog licking my friends lips.,8,2,1,5,8,9,1,9,1,6,3,1,7,6,2,1,5,6,7,8,1,9,9,9,1,7,1,9,1,1,8,2,1,1,8,1,1,1,4,8
829,True,EN,5ab87be55cd105000161a5a8,I agree,JOY,Being able to see a friend I hadn't been able to see in a long while. I was able to book a flight to go and see them in Germany for the first time in years. I spent the night sleepless and excited. The trip to the airport felt exciting and I was happy to be there and to get on the plane. Being able to see them at the airport when I landed felt like a big relief and I was so happy I was in tears. It just felt so good to be with someone after so long.,Seeing someone I hadn't been able to see in a whil,9,2,9,9,9,9,7,9,9,8,9,7,2,6,9,8,1,6,8,9,9,9,8,9,2,8,3,6,1,9,9,8,9,8,9,8,1,1,4,-99
990,True,EN,6137753896c9b6b5813a2432,I agree,EMBARRASSMENT,"Whilst working at my desk in a busy office, I needed to take a moment to stretch and I extended my arms really high into the air to have a really good stretch.  A colleague sitting a few feet away pointed out really loudly that I had a hole in my jumper, under my armpit and he exclaimed how surprised he was at that and proceeded to tell my other nearby colleagues.  He went on about my holy jumper for a good hour after spotting the offence, and also told colleagues who were not there at the time, but came into the office later. I felt awkward as I am usually very smart in the office and take a lot of pride in my appearance.  I did feel ashamed that I had let my standards slip and even worse as someone else had spotted it. ",My colleague spotting a hole that I was unaware of,1,1,3,2,1,1,-99,7,2,6,2,7,9,1,1,1,4,5,1,6,1,9,1,9,3,5,6,9,1,3,6,7,2,6,9,7,1,1,4,-99
979,True,EN,5accf2c4fa3b4e000173d11e,I agree,RELIEF,"I had parked my car in a city that I did not know well and went into the city centre to shop. I had a lovely time and when I decided to go home I had total forgotten where my car was and I had lost my bearings. It took me a long time to find my car and I think it was just luck but when I did I was so relieved and happy. ",Finding my car so I could go home.,1,2,-99,5,1,1,9,1,6,5,1,1,1,1,2,1,-99,4,2,6,1,1,1,-99,1,7,6,7,1,8,6,-99,1,7,7,6,1,-99,4,-99
612,True,EN,60f58103f23bca812b229dbb,I agree,ADMIRATION,"I have been going to the same gym on and of for a number of years now and there is a woman there who when starting off was very petit and and slim and seemed as though she wanted to gain weight.

after all the years seeing her progress i have gained admiration for her as not only does she seem to have hit her goal, she done so in a manner which was was impressive.",seeing a friend reach their goal,7,6,9,6,8,7,-99,6,-99,7,7,8,2,7,6,6,6,7,-99,5,5,8,7,7,3,6,-99,3,5,8,7,4,3,4,9,6,3,6,4,-99
574,True,EN,5aa308f0b5e2110001c71eb5,I agree,DISAPPROVAL,"I felt disapproval after a colleague did something i thought was not right at all. It was related to a patient at work ",Healthcare incident,3,9,-99,3,8,6,3,5,4,6,3,2,5,5,6,1,8,5,6,-99,5,4,7,7,4,5,3,6,1,4,6,-99,1,2,5,3,7,5,4,-99
494,True,EN,5e8f89db8ed06f27d73030ae,I agree,SURPRISE,My husband took my little boy shopping for the groceries-he came home with some flowers and chocolates for me too,It was unexpeted and cheered me up,5,9,5,6,9,9,1,9,3,3,9,8,9,6,8,1,5,9,6,9,8,5,3,7,2,9,1,4,1,5,8,5,7,3,9,8,1,3,4,-99
523,True,EN,5e722fa3e52a23162ebb8c01,I agree,CONFUSION,"When I first started my degree in London, the City was very new to me because I was used to rural countryside. I remember trying to figure out for the first time by myself how to attempt to use the Underground (Tube). The London underground map looked overwhelming and made me feel lost and confused before I had even started my journey from Point A to Point B. In the end I just got on what I hoped was the right tube line because it was stressing me out trying to figure it out and I figured I could always ask someone if I got totally lost.",Different system of travel in new city,8,2,-99,6,2,1,2,1,3,8,-99,6,1,1,9,1,-99,4,7,6,-99,3,-99,4,2,5,6,8,3,9,5,3,-99,1,8,-99,3,7,4,9
466,True,EN,5eb331bc1f70081249e6fb7a,I agree,APPROVAL,"Just today, a good friend that I massively admire, said I was really good with money. He has high standards for himself, and I felt included somehow in his 'being good at useful things' club!",Recognition of being good at something!,1,5,7,9,9,6,6,9,4,6,9,6,8,3,4,1,6,6,3,9,9,2,1,9,3,9,1,5,1,8,9,5,6,9,9,5,1,3,4,-99
305,True,EN,6148546e99d5bf0eeab4d4ca,I agree,JOY,"Was in the school library, and received the e-mail from my preferred university saying I was offered a place; the odds were pretty low and I didn't expect it, so I was pretty happy.",Reading the e-mail,5,4,7,6,6,6,7,1,3,5,-99,7,-99,3,7,3,6,7,-99,6,3,9,1,2,8,-99,9,1,1,6,9,6,1,6,9,6,2,6,4,-99
637,True,EN,5f2f0ace37658a2e315c4875,I agree,NERVOUSNESS,"I am a musician. I've played guitar for more years than I care to remember, but, I'll never forget the first time I played in front of a large audience. I was a member of a band called Lightning Lloyd and the Flaming Flamingos and we were hired to play at a rally for teachers in Montreal. We had played in small bars and dance halls before, but that day we would play in front of 15,000 people. I  was so nervous I was shaking. I was so afraid that I would make a mistake, but, I sucked it up and took a deep breath, and went on with the show. All went well and we were a hit.",Playing in front of a very large audience.,4,4,7,5,4,7,7,7,7,7,2,6,3,5,8,7,5,4,6,7,5,3,5,7,6,6,8,6,3,2,7,5,6,7,5,5,6,5,4,-99
766,True,EN,60a2df32808ac76c056b37b9,I agree,DISAPPOINTMENT,I had planned an get together for my birthday with my friends. They all agreed to come and we made plans together. Everyone pulled out last minute and I was extremely disappointed.,Friends cancelled on my birthday,9,7,6,1,7,5,1,9,4,9,4,1,9,1,5,6,9,5,7,6,4,9,1,9,3,3,9,5,1,4,9,6,4,1,7,3,1,9,4,-99
909,True,EN,5fe848f115b59b69cf9b06b6,I agree,FEAR,"I was outside my house about to get into my car and five guys walked up behind me and one of them put his arm around me from the back and showed me a gun and said give me your keys. I gave them the keys but then my tried to push me through the passenger door onto the back seat. I was terrified to go with them as I knew it would not end well. However, at the same time I knew they might shoot me if I resisted. However, the fear of going with them won out and I resisted like crazy and screamed repeatedly. They eventually gave up and roared off with the car. ",The gun plus the thought of going with them.,1,1,1,1,9,9,1,1,1,3,1,1,9,1,1,4,1,1,9,3,5,9,9,9,9,1,9,1,9,9,9,1,3,1,9,9,9,9,4,-99
989,True,EN,5cf02982efff0b00177ac692,I agree,CARING,"I saw an old lady who had fallen over on the path in the winter,she was struggling to get up,so i went over and helped her to her feet",helping the old lady,1,2,3,5,1,1,3,1,4,1,7,7,9,1,8,1,6,4,1,8,1,3,7,2,1,8,2,9,2,1,9,8,2,8,8,3,2,1,4,-99
1309,True,EN,5c1c792d4bbe4f00012cd885,I agree,EXCITEMENT,i started a walking and water challenge at the start of the year and when i do well and get support from the group it helps inspire those feelings,getting fit and meeting new people,1,7,8,6,1,7,3,1,6,1,5,8,5,5,6,7,5,5,1,6,7,5,7,6,6,3,4,7,1,5,7,-99,5,5,6,6,2,7,4,-99
233,True,EN,5ea8154dcfd4dd20473ed88e,I agree,SURPRISE,"The last time I felt really surprised was when my parents bought me a car. I really needed a new car, and had been looking on the market for one, but my parents had seemed to hold something back when I was shopping around with them. They bought me a car! Which was awesome! It's a Volvo S60, which I love!",My parents buying me a car,1,8,8,7,2,9,2,9,3,3,9,6,8,2,6,1,2,8,2,9,2,8,1,8,3,7,2,8,1,4,9,6,6,2,9,6,1,3,4,-99
950,True,EN,6098fa506b5462e6f924dfea,I agree,DESIRE,"A couple of weeks ago, I had an emotional breakdown episode in which I had a strong feeling of wanting to be around people. I spent the holidays entirely alone. And I was mostly trying to suppress or ignore these feelings by keeping myself busy until I couldn't anymore.
The breakdown had occurred during and after I finished watching a Netflix series. I believe my mind just projected the feeling of loneliness into one of the characters.",Relating to the tv show character,8,1,4,3,-99,1,7,-99,7,1,-99,8,6,9,9,-99,9,7,8,5,-99,6,2,1,-99,8,6,3,1,9,9,9,-99,9,9,9,2,3,4,-99
332,True,EN,5f9dcd7eaae8a33422a97b88,I agree,NERVOUSNESS,"I recently have just received a promotion at work and as a result have been assigned a new project. I felt very nervous that I (actually) don't know anything and that I will underperform in this project. I'm also taking over another member of staff, and when she was in that post she was very capable.",Worry of not being able to perform at work,7,-99,6,-99,7,6,8,8,3,-99,-99,8,4,3,9,1,1,2,-99,4,5,9,-99,1,8,3,7,1,-99,6,8,6,2,8,7,-99,6,7,4,-99
200,True,EN,6086f089e92f20b8e6ddef04,I agree,SURPRISE,"I went outside the other day for a walk and didn't know the exact temperature of the air. I knew it was cold so I dressed accordingly but I didn't know how cold it really was. Turns out it was super cold, cold enough that it took me by surprise because I didn't expect it to be that cold. ","The cold temperature outside ",2,1,1,1,1,1,1,1,2,1,1,1,9,3,1,1,2,1,7,6,1,9,9,1,2,9,1,3,9,1,3,1,1,2,7,2,9,3,4,-99
476,True,EN,5c559af233ed050001dffa66,I agree,NERVOUSNESS,"I was working with my dad and damaged a bath that we were meant to keep when working for a customer who was a bit funny. I was expecting it to turn into a horrible situation as it was a job that we had only just started and we needed the money, so I became anxious and nervous about the outcome.  ","The potential reactions of other people. ",2,-99,1,-99,7,1,8,7,2,1,6,8,4,7,8,6,-99,3,3,4,8,7,1,9,7,2,7,8,1,3,8,6,5,7,9,9,7,6,4,-99
603,True,EN,60a10200728a071b878a50f9,I agree,NERVOUSNESS,"I had to do a presentation of my schoolwork but I was not fully prepared. Furthermore, I had misinterpreted the starting time, due to different time zones. As a result, I had to present a half-done article.",An academic presentation,7,1,8,7,9,1,9,4,1,8,-99,1,2,3,-99,1,9,2,1,3,7,7,1,7,3,7,8,8,1,4,8,-99,3,8,7,8,7,1,4,-99
382,True,EN,60cdf78d2024880153bcd5ba,I agree,EMBARRASSMENT,I tried to get my friend to look at a picture that I had forgotten I doctored and it was shown to them.,"Showing my friend an image that was doctored. ",1,3,1,2,7,1,8,7,8,3,3,3,8,3,6,2,6,2,2,5,4,2,1,7,-99,8,2,8,1,6,8,5,6,6,6,4,4,5,4,-99
524,True,EN,60a11f90c50ca219e6f70bce,I agree,SURPRISE,"Well after missing my period, I took a pregnancy test only to find it was positive - I was utterly shocked and surprised honestly.",Being pregnant,1,6,1,4,9,9,9,9,9,5,9,9,9,1,6,6,9,1,1,3,4,1,9,3,9,1,9,6,1,9,9,7,9,6,9,9,7,6,4,-99
569,True,EN,60bddb39c8287f341bad6ad6,I agree,OPTIMISM,"When i did well at something at work then felt optimistic about my abilities, i did a task that i didn't think i was would do well in ",previous success,4,2,5,9,-99,9,-99,4,8,1,5,7,4,7,7,2,-99,2,8,4,7,9,1,9,7,8,8,9,1,3,4,3,-99,4,8,6,5,7,4,-99
1052,True,EN,60b25a6fd00d5e6fa560a700,I agree,DISGUST,"There was once a time when in our first year one of our roommates decided to use our shared toiled and then not flush afterwards and when I walked in, I was in for a big surprise that cause to lose my appetite for the whole day",Walking in the toilet,-99,-99,-99,9,8,9,1,4,1,1,1,-99,8,-99,6,-99,-99,-99,7,8,7,9,5,-99,-99,8,-99,7,5,-99,9,1,8,1,5,-99,9,6,4,-99
275,True,EN,6015ad2e9865f10c9ac5d42d,I agree,FEAR,"I was getting a lift home from my brother and went home via a back/country road. We pulled out of a junction and a van approaching at high speed almost collided with the passenger side door and hit me. ","The closeness to a serious accident. ",2,2,3,6,8,7,2,7,1,3,6,2,8,2,2,1,2,2,2,7,2,9,6,5,2,4,2,8,7,3,5,1,3,1,5,6,7,3,4,-99
550,True,EN,5e1e1a350e12221899bc2ed2,I agree,RELIEF,"when my daughter came out of an oxygen tent
my daughter was born premature and we spent a few worried months worried whether she would live or die",the relief of knowing my daughter would live,8,9,5,8,1,1,5,9,1,1,9,2,5,1,5,9,9,6,1,6,1,9,9,9,9,5,8,5,1,1,9,5,3,1,9,8,9,5,4,-99
662,True,EN,6027cc78c597e0049f3e455d,I agree,PRIDE,"I attended a musical concert given by my daughters school , she was one of the performers and was due to play a pieice on the classical guitar that I had been teaching her for some time. The piece was causing her some difficulties and at times had led to some conflict between us. She played it very well and I felt very proud of her for playing in such as wonderful way and overcoming the difficulties.",My daughter playing the guitar very well,5,7,6,9,9,9,5,9,4,6,9,8,1,9,3,1,1,3,7,6,8,7,1,6,3,1,7,1,1,1,9,6,8,6,9,8,1,2,4,-99
1103,True,EN,60abcd6f3e5efd9fca235828,I agree,APPROVAL,A few years ago my neighbors dog was looking very sick. The dog was throwing up. I took one look at the dog and told them that the dog has been poisoned and they rushed him to the vet..,The dogs life was saved.,9,5,9,9,9,9,1,9,9,9,9,9,9,7,9,9,9,9,5,9,8,9,9,9,1,-99,1,6,1,9,9,9,-99,9,5,9,1,1,9,-99
545,True,EN,5c1cb46aaaf1320001426b9e,I agree,EMBARRASSMENT,"I was carrying a tray of drinks to a group of people sat at a table.  As I was handing a person their drink, the tray tipped forward and the rest of the drinks fell over, spilling their contents",Spilling the drinks,2,1,4,2,9,1,9,3,2,5,5,9,6,5,6,1,2,3,6,4,6,9,7,8,5,7,6,8,1,7,9,5,9,2,9,9,7,5,4,-99
254,True,EN,60522a66ddf56887c48656cc,I agree,SADNESS,"i was sad when i found out that my mom died. she had breast cancer. i was 15 years old and my uncle told me about it. there's not much more to explain. i was at home, he was at the hospital at the time ",my mom dying,4,1,-99,-99,-99,1,-99,9,1,-99,-99,5,6,5,1,4,1,-99,-99,4,1,9,9,4,9,-99,-99,-99,1,-99,9,-99,6,1,9,9,-99,-99,4,-99
517,True,EN,60b62b9daab749081c5b88f0,I agree,PRIDE,This was when I was accepted to study at university. I felt pride because in that moment I realized that all the hard work I'd put in to studying in high school paid off,Acceptance to university,7,7,6,5,6,5,9,2,5,2,6,6,2,3,5,1,4,7,5,6,5,8,3,3,7,6,4,3,1,9,7,7,3,9,5,4,2,6,4,-99
339,True,EN,58c4f54f93499d0001346edd,I agree,EXCITEMENT,"watching my football team score a goal to win the game in the last minute, meaning that they progress into the final",the feeling of relief and joy combined,5,6,8,7,9,9,1,6,1,1,5,3,3,7,7,1,6,3,6,8,1,9,2,1,7,8,1,3,1,1,8,5,1,1,8,3,1,1,4,-99
681,True,EN,5ea02e5c3fb6e6000a30693b,I agree,EMBARRASSMENT,"On New Years Eve, my husband gave me some money to got up to the bar and order some drinks. On returning to the table holding I went to place a double gin and tonic on the table and the glass hit the table and shattered, sending gin, tonic, glass and loads of ice everywhere.  I helped to clear it all up with the bar staff.",Everbody stopped talking and looked at me.,5,1,1,5,9,1,9,6,1,5,1,9,9,1,1,1,5,4,1,3,1,9,1,7,1,9,1,1,1,9,9,1,1,1,9,1,3,1,4,-99
377,True,EN,5eb59589076e4745250148ed,I agree,PRIDE,"Completing my Law degree I felt proud that my studies were completed satisfactorily I was glad that I was able to graduate and move on to the next stage of my career. ",The relief and satisfaction of my family,8,6,9,8,9,7,7,8,8,7,9,8,1,7,6,6,3,6,9,8,7,7,1,9,8,8,9,4,1,4,9,8,6,8,9,3,2,9,8,-99
1005,True,EN,60bf524bfd995ca27c80ea51,I agree,LOVE,"the time i fell in love when i held my child in my arms for the first time i can still remember the feelings no words can describe . she was so small and innocent and her tender little hand held on to my finger when placed into her hand. this to me was love at first sight for my child   ",beauty andn innocence,7,9,7,7,1,7,7,6,8,7,6,1,2,1,1,-99,1,6,1,6,1,9,6,3,8,8,2,7,7,7,9,-99,5,9,6,5,1,1,6,-99
325,True,EN,5c73e79d0b33c8001232339d,I agree,REMORSE,"I was woken by people shouting outside my home at 3 in the morning. Turned out to be friends who had no where to sleep and wanted to be let in and crash on the sofa, no big deal. But I was grouchy and told them to go away. Still feel remorse for being unhelpful.",No being generous.,1,1,3,1,7,8,5,6,9,9,7,8,9,1,7,7,6,5,7,5,6,8,5,9,2,9,3,4,1,4,9,3,7,5,6,5,6,8,4,-99
397,True,EN,5fbe819adf00fc05ec9f7a42,I agree,CURIOSITY,"I had the urge to start learning about shares and the stock market. I began my journey by reading articles and playing on a virtual system. 
I then took the plunge with my own money. ","The complexity of learning a volatile system ",1,5,9,5,5,1,9,1,9,1,5,2,1,1,7,1,1,3,1,9,6,1,1,1,9,9,1,1,1,9,9,3,1,7,9,1,9,9,4,-99
522,True,EN,5e8e11676c1dea0be7a64cb3,I agree,GRATITUDE,"In a group project, there was one person who had failed to do their part. The group was worried as that missing work was crucial for the project. We all then decided to spend a lot of time at the last minute to complete that part as well. I felt a lot of gratitude to my remaining group members and they as well to me.",group members helped out,4,7,8,6,9,6,1,7,3,3,8,6,2,3,4,3,3,4,8,4,7,7,2,9,6,7,6,6,2,3,7,6,6,3,8,6,5,6,4,-99
757,True,EN,5be1f3f38a2c8000016246e7,I agree,FEAR,"The most recent time I have felt fear was when camping on a hilltop in Cornwall during a 100-mile hike. I was in my tent, alone; it was extremely windy. My friends were nearby, in their own tents, but the wind was so loud that they couldn't hear me. The gale was such that the tent poles were bending in on me, concave, and I thought it was going to fall down. I began getting dressed with a view to possibly having to evacuate if the tent blew down. I texted my friends; it didn't deliver (no signal? internet turned off?). Then, horrifyingly, I heard the zip of the front flap of the tent come down: was someone coming into the tent? I also heard what sounded like flip-flops padding around the tent, and dreaded an intruder.",fear of tent blowing away,6,1,1,-99,1,1,1,8,1,3,-99,2,7,2,9,1,1,4,3,4,1,3,8,1,6,6,6,9,7,9,9,1,1,1,9,8,9,2,4,-99
535,True,EN,58378b753c7b7f0001fa8af6,I agree,CARING,"When a friend with mental illnesses texted me to ask how to get somewhere.  It was only a local trip and I was about to do something at home, but I know she doesn't deal well with directions. So I spend some time trying to work out where she was going and when; in the end had to ring her up as it was too complicated to do via texts.",I knew she'd struggle with this and I could help.,2,4,6,6,4,7,2,8,7,2,8,3,9,6,8,1,7,4,9,8,8,1,1,3,2,8,4,7,1,3,7,6,3,4,8,2,3,6,4,7
366,True,EN,5e3891a0ffe78b000a8a4124,I agree,REALIZATION,"My father in-law contracted cancer.  I realsied that I hadn't seen him for many years, and due to COVID would be unlikely to see him again",Cancer diagnosis,6,1,1,5,6,1,1,7,1,1,6,1,6,6,7,1,3,5,1,7,1,9,9,8,6,3,3,1,1,1,8,5,6,1,7,1,8,1,4,-99
231,True,EN,60fe922db413bc0938bd4635,I agree,CURIOSITY,"A time when I felt curious to do something would be say when I'm playing a computer game and I was playing games like dark souls and there's always a different style of play etc and it makes me curious to see how to progress with different tactics etc ","Being able to change weapons etc in game ",7,4,6,7,4,6,6,6,6,8,2,5,1,7,6,2,3,5,7,6,2,4,1,1,4,7,1,4,1,7,4,6,4,5,6,5,1,2,4,-99
1099,True,EN,5cfe3c8693f7170019939763,I agree,SURPRISE,"I thought that the world-famous Welsh football player Aaron Ramsey had been signed by Cheltenham FC. So I told my son this story which he laughed at. Then followed the usual Internet search and finally after a long discussion we found it WAS Aaron Ramsey, just not THAT Aaron Ramsey, a young kid going on loan to a lowly football club to get some experience. The surprise was that I had remembered everything correctly - names, the loan, the club.  ",My memory,4,5,7,-99,9,1,9,7,2,-99,9,5,6,6,9,1,5,5,7,9,1,9,1,7,1,9,1,9,1,1,9,7,6,7,6,1,1,6,4,-99
599,True,EN,6140bf6523a8f20a2ea1e417,I agree,ADMIRATION,"My wife and I are cold water swimmers. There are occasions however when I don't want to do it, feel put off etc my wife however is very driven and motivated. Last weekend we swam in the sea and I held back to capture my wife's experience. She did not hesitate and appeared to embrace every moment she was in the sea, I felt admiration then. ","My wife's determination, commitment and courage. ",8,9,9,7,8,9,1,9,2,1,7,7,3,9,6,1,2,7,9,9,8,9,8,9,1,7,3,4,1,4,6,9,7,1,9,9,4,3,4,-99
604,True,EN,5e1f1ec9debba10112ac5733,I agree,AMUSEMENT,"There is a large tree outside my kitchen / lounge window, and often there are some pigeons who like to sit on the branches. I always keep an eye out for them because they are nice to look at, and are very large and round. 
When I see them, I try to get their attention and make eye contact with them. When this happens they often will look at me, turning their heads in a quizzical fashion, bobbing up and down, and generally just staring at me as I wave at them. ",The quizzical looks from the pigeons,9,9,6,5,9,9,8,1,8,6,1,1,2,9,9,3,2,9,9,7,1,8,1,1,2,9,1,3,1,9,9,8,1,8,9,1,1,1,4,9
507,True,EN,59a325d98d2b1600011b3f96,I agree,AMUSEMENT,"seeing my granddaughter opening her Christmas presents, she she spend a long tome opening a particular box then put it back under the tree so she could find it again",wanting to re- find the present,5,9,-99,-99,9,8,1,9,1,-99,-99,1,7,4,-99,1,5,-99,5,-99,-99,9,-99,-99,-99,9,1,9,1,1,9,5,5,-99,9,1,1,-99,4,-99
1025,True,EN,5ecfd28bb14b1c05751f178c,I agree,EMBARRASSMENT,"I was asked out on a date by a colleague he was charming funny and seemed really interested i hadnt been working there very long and he worked in an upstairs department i agreed to go on a date with him but asked my other colleague to come along with me  for support i couldnt believe what happened ","he was married to my chaparone ",7,1,6,9,9,7,1,7,2,3,4,9,9,1,8,1,1,6,1,4,9,7,6,6,9,4,8,6,5,8,9,2,9,4,7,9,9,9,4,-99
943,True,EN,60bfb7216f6da5705b11ca15,I agree,FEAR,"It all happened when i was in my freshman year of college,back in 2015. I needed to attend a late event on campus and it was not something i would usually do. Everything was going on so well at the event that i almost didn't think id have to go home after that.Well time came that i need to go home, i had to wait for my parents to come fetch me. i didn't inform them in time so that meant having to wait outside for a little bit longer. I got very worried when it was getting late and by each minute my fear became more.",Being outside in the dark,3,1,1,1,1,1,6,1,3,9,9,1,3,9,7,7,9,3,7,6,8,6,3,1,4,3,8,9,9,9,9,1,2,1,6,7,9,3,4,-99
325,True,EN,58fa0a2fef92ae0001b9094f,I agree,CARING,"When I spoke to my brother when had had relationship troubles, I comforted and cared for him when he was upset.",Relationship break up,7,9,2,6,8,3,1,9,4,2,4,4,5,7,3,4,6,7,7,6,9,6,2,9,6,6,3,3,1,2,6,2,6,2,5,7,8,6,4,-99
747,True,EN,5f0da151d7f599017aeb77bd,I agree,REALIZATION,"I had been for a night out to a restaurant.  I arrived home and realised I had left my phone on the restaurant table.  ","Checking my bag and pockets. ",6,1,5,5,7,-99,8,6,7,5,7,1,1,7,1,-99,1,6,7,6,4,5,4,7,1,7,1,-99,1,7,6,1,1,1,6,1,1,1,4,-99
303,True,EN,5ebbf347d845c502f930be50,I agree,GRIEF,"I felt deep grief a few years ago when my father died. He was in reasonable health but died in his sleep unexpectedly. ","Death of my father ",7,1,1,5,5,1,1,9,9,1,1,1,9,2,1,1,1,9,-99,9,1,9,1,1,9,9,1,9,1,9,9,5,7,1,9,4,1,-99,4,-99
1420,True,EN,5f24b029e23a7c0bad4befd2,I agree,NERVOUSNESS,"A few years ago I was trying to find a job, I needed money to pay rent for a student house I was in. I applied for a factory job and a few days later I received an email saying that I was to come in for an interview. The interview was scheduled a few days after I got the email, every time I thought about it I got nervous and had this feeling in the pit of my stomach which I always get when I'm nervous. The day of the interview came along with the same feelings but they went away during the interview and a few days later I received a call saying I got the job. ","The interview ",8,4,6,6,8,7,6,2,6,7,7,6,3,3,7,4,2,3,8,7,7,7,3,8,6,3,7,4,2,2,7,4,3,4,8,6,4,6,4,-99
